field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,join_FIPS,join_ISO2,join_ISO3,join_UN,join_NAME,join_AREA,join_POP2005,join_REGION,join_SUBREGION,join_LON,join_LAT,distance
1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.08168983459,145.391998291,5282,10,U,Pacific/Port_Moresby,airport,OurAirports,PP,PG,PNG,598,Papua New Guinea,45286,6069715,9,54,143.459,-5.949,0
2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,20,10,U,Pacific/Port_Moresby,airport,OurAirports,PP,PG,PNG,598,Papua New Guinea,45286,6069715,9,54,143.459,-5.949,0
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.82678985595703,144.296005249023,5388,10,U,Pacific/Port_Moresby,airport,OurAirports,PP,PG,PNG,598,Papua New Guinea,45286,6069715,9,54,143.459,-5.949,0
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,10,U,Pacific/Port_Moresby,airport,OurAirports,PP,PG,PNG,598,Papua New Guinea,45286,6069715,9,54,143.459,-5.949,0
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.44338035583496,147.220001220703,146,10,U,Pacific/Port_Moresby,airport,OurAirports,PP,PG,PNG,598,Papua New Guinea,45286,6069715,9,54,143.459,-5.949,0
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.58383011818,143.669006348,19,10,U,Pacific/Port_Moresby,airport,OurAirports,PP,PG,PNG,598,Papua New Guinea,45286,6069715,9,54,143.459,-5.949,0
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,112,-3,E,America/Godthab,airport,OurAirports,GL,GL,GRL,304,Greenland,41045,57475,19,21,-41.391,74.719,0
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.6781005859,283,-3,E,America/Godthab,airport,OurAirports,GL,GL,GRL,304,Greenland,41045,57475,19,21,-41.391,74.719,0
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,165,-3,E,America/Godthab,airport,OurAirports,GL,GL,GRL,304,Greenland,41045,57475,19,21,-41.391,74.719,0.00748056981778441
10,Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.7032012939,251,-4,E,America/Thule,airport,OurAirports,GL,GL,GRL,304,Greenland,41045,57475,19,21,-41.391,74.719,0
11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.6600036621094,-18.0727005004883,6,0,N,Atlantic/Reykjavik,airport,OurAirports,IC,IS,ISL,352,Iceland,10025,295732,150,154,-18.48,64.764,0.0123160822929895
12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.2833023071289,-14.4013996124268,76,0,N,Atlantic/Reykjavik,airport,OurAirports,IC,IS,ISL,352,Iceland,10025,295732,150,154,-18.48,64.764,0
13,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,24,0,N,Atlantic/Reykjavik,airport,OurAirports,IC,IS,ISL,352,Iceland,10025,295732,150,154,-18.48,64.764,0.00565294166396871
14,Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,48,0,N,Atlantic/Reykjavik,airport,OurAirports,IC,IS,ISL,352,Iceland,10025,295732,150,154,-18.48,64.764,0
15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.0580978393555,-23.1352996826172,8,0,N,Atlantic/Reykjavik,airport,OurAirports,IC,IS,ISL,352,Iceland,10025,295732,150,154,-18.48,64.764,0
16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357056,171,0,N,Atlantic/Reykjavik,airport,OurAirports,IC,IS,ISL,352,Iceland,10025,295732,150,154,-18.48,64.764,0
17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,11,0,N,Atlantic/Reykjavik,airport,OurAirports,IC,IS,ISL,352,Iceland,10025,295732,150,154,-18.48,64.764,0.015742767762067
18,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415,48,0,N,Atlantic/Reykjavik,airport,OurAirports,IC,IS,ISL,352,Iceland,10025,295732,150,154,-18.48,64.764,0
19,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,10,0,N,Atlantic/Reykjavik,airport,OurAirports,IC,IS,ISL,352,Iceland,10025,295732,150,154,-18.48,64.764,0
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.4243011474609,-20.2789001464844,326,0,N,Atlantic/Reykjavik,airport,OurAirports,IC,IS,ISL,352,Iceland,10025,295732,150,154,-18.48,64.764,0.137908541352628
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.4850006103516,-84.5093994140625,630,-5,A,America/Toronto,airport,OurAirports,CA,CA,CAN,124,Canada,909351,32270507,19,21,-109.433,59.081,0
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV,CYAV,50.0564002991,-97.0325012207,760,-6,A,America/Winnipeg,airport,OurAirports,CA,CA,CAN,124,Canada,909351,32270507,19,21,-109.433,59.081,0
23,Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW,CYAW,44.6397018433,-63.4994010925,144,-4,A,America/Halifax,airport,OurAirports,CA,CA,CAN,124,Canada,909351,32270507,19,21,-109.433,59.081,0
24,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.3918991089,-56.0830993652,108,-3.5,A,America/St_Johns,airport,OurAirports,CA,CA,CAN,124,Canada,909351,32270507,19,21,-109.433,59.081,0
25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.775583,80,-8,A,America/Vancouver,airport,OurAirports,CA,CA,CAN,124,Canada,909351,32270507,19,21,-109.433,59.081,0.0138403968924384
26,Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534401,-89.808098,56,-7,A,America/Edmonton,airport,OurAirports,CA,CA,CAN,124,Canada,909351,32270507,19,21,-109.433,59.081,0
27,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.1324996948242,-68.2043991088867,71,-5,A,America/Toronto,airport,OurAirports,CA,CA,CAN,124,Canada,909351,32270507,19,21,-109.433,59.081,0
28,CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.3306007385254,-70.9963989257812,522,-5,A,America/Toronto,airport,OurAirports,CA,CA,CAN,124,Canada,909351,32270507,19,21,-109.433,59.081,0
29,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.2988967896,-96.077796936,59,-6,A,America/Winnipeg,airport,OurAirports,CA,CA,CAN,124,Canada,909351,32270507,19,21,-109.433,59.081,0
30,Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.9508018493652,-125.271003723145,346,-8,A,America/Vancouver,airport,OurAirports,CA,CA,CAN,124,Canada,909351,32270507,19,21,-109.433,59.081,0
